"id","backSide","bookmarked","createdAt","difficult","difficultChangeTime","folderId","frontSide","userId"
"251","<p>zmęczony</p>","0","1670931341008","1","1671282781168","19","<p>Усталый</p>","3"
"187","""<p><strong>Jak</strong> my <strong>mówimy</strong> po polsku """"hola""""?</p>""","0","1670931341008","0","1670931341008","19","""<p><strong>Как</strong> мы <strong>говорим</strong> по-польски """"hola""""?</p>""","3"
"154","<p>osiem<strong>dziesiąt </strong>dwa</p>","0","1670931341008","1","1670931341008","18","<p>82</p>","3"
"7","jesteśmy","0","1670931341008","1","1670931341008","9","my","3"
"115","<p>czter<strong>dzieści </strong>osiem</p>","0","1670931341008","1","1670931341008","18","<p>48</p>","3"
"512","<p>Cheap</p>","0","1672436183845","1","1672436183845","45","<p>Дешево</p>","9"
"843","<p>przypadek</p>","0","1693204436780","0","1693216471280","67","<p>падеж</p>","3"
"286","<p>patrzeć<br>popatrzeć</p>","0","1670931341008","1","1670931341008","26","<p>Смотреть<br><u>По</u>смотреть</p>","3"
"361","<p>Żółty</p>","0","1670942232983","0","1670967477062","35","<p>Желтый</p>","3"
"380","<p>Siedem</p>","0","1670957435638","1","1670957435638","30","<p>7</p>","9"
"678","<p>W zeszłym roku</p>","0","1677493760426","2","1677582724758","52","<p>В прошлом году</p>","3"
"526","<p><strong>for</strong></p><p>She was cooking dinner <strong>for</strong> an hour and half.</p>","0","1674304787919","1","1674304787919","47","""<p><strong>в течение</strong></p><p><em>Когда говорим, как долго длится действие или ситуация.</em></p><p>Она готовила обед в течении полутора часов.</p>""","9"
"117","<p>pięć<strong>dziesiąt</strong></p>","0","1670931341008","1","1670931341008","18","<p>50</p>","3"
"401","<p>sprawdzić</p>","0","1671005974733","1","1671285582115","38","<p>Проверить (законченный)</p>","3"
"554","<p><strong>due to</strong>&nbsp;</p><p>I got sick <strong>due to</strong> changeable weather</p>","0","1674306627991","1","1674306627991","50","""<p><strong>из-за, благодаря</strong></p><p><em>Когда что-то негативное произошло из-за кого-то или чего-то. Чаще касается официальных ситуаций.&nbsp;</em></p><p>Из-за переменчивой погоды я заболела.&nbsp;</p>""","9"
"47","<p>jede<strong>naście</strong></p>","0","1670931341008","1","1670931341008","17","<p>11</p>","3"
"184","<p>Ja jestem <strong>gruby</strong></p>","0","1670931341008","0","1670931341008","19","<p>Я <strong>толстый</strong></p>","3"
"403","<p>Życie</p><p>W życiu</p>","0","1671008704025","0","1671285403245","38","<p>Жизнь</p><p>В жизни</p>","3"
"304","<p>Nie mam <strong>pojęcia</strong></p>","0","1670931341008","2","1671297722833","26","<p><strong>Понятия</strong> не имею / Без <strong>понятия</strong></p>","3"
"590","<p>mam star<strong>y</strong> samochód</p>","0","1674917180711","1","1674917180711","51","<p>mam (stary) (samochód)</p>","3"
"156","<p>osiem<strong>dziesiąt</strong></p>","0","1670931341008","1","1670931341008","18","<p>80</p>","3"
"122","<p>pięć<strong>dziesiąt </strong>pięć</p>","0","1670931341008","1","1670931341008","18","<p>55</p>","3"
"273","<p>spacer <strong>specjalny</strong></p>","0","1670931341008","2","1671284334519","21","<p><strong>Специальная</strong> прогулка</p>","3"
"513","<p>Expensive</p>","0","1672436479397","1","1673102708076","45","<p>Дорого</p>","9"
"333","<p>ziemia</p>","0","1670931341008","0","1670967405543","34","<p>земля</p>","3"
"145","<p>siedem<strong>dziesiąt </strong>osiem</p>","0","1670931341008","1","1670931341008","18","<p>78</p>","3"
"195","<p>Ona jest <strong>leniw</strong><u><strong>a</strong></u></p>","0","1670931341008","0","1670931341008","19","<p>Она <strong>ленива</strong></p>","3"
"501","<p>I’m cold.</p>","0","1672433126585","0","1672640660494","45","<p>Я замерз <em>(я холодный)</em></p>","9"
"359","<p>Pomarańczowy</p>","0","1670942180731","1","1671285875297","35","<p>Оранжевый</p>","3"
"668","<p>Pięć lat temu</p>","0","1677493342997","1","1677493342997","52","<p>Пять лет назад</p>","3"
"835","<p>Czasownik</p>","0","1693204275204","0","1693218881132","67","<p>Глагол</p>","3"
"583","<p>oni są polsk<strong>imi</strong> film<strong>ami</strong></p>","1","1674916462121","2","1674937092371","51","<p>oni są (polski) (film)</p>","3"
"256","<p>grupa turyst<strong>ó</strong>w</p>","0","1670931341008","0","1670931341008","21","<p>Група туристов</p>","3"
"130","<p>sześć<strong>dziesiąt </strong>trzy</p>","0","1670931341008","1","1670931341008","18","<p>63</p>","3"
"386","<p>Zaczynać</p>","0","1671002185545","0","1671285347371","38","<p>Начинать (незавершенный)</p>","3"
"573","<p>on jest wyso<u>k</u><strong>im</strong> mężczyzn<strong>ą</strong></p>","0","1674915090158","2","1674936506030","51","<p>on jest (wysoki) (mężczyzna)</p>","3"
"369","<p>Nie wiem</p>","0","1670956849906","1","1670956849906","31","<p>Не знаю</p>","9"
"555","<p><strong>through</strong>&nbsp;</p><p>I missed the party <strong>through</strong> of a headache.</p>","0","1674306738249","1","1674306738249","50","""<p><strong>благодаря, из-за</strong></p><p><em>Когда что-то происходит из-за чего-то.</em></p><p>Я пропустила вечеринку из-за головной боли.</p>""","9"
"533","<p><strong>behind</strong></p><p>She parked <strong>behind</strong> me.</p>","0","1674305169614","1","1674305169614","48","""<p><strong>за, позади</strong></p><p><em>Когда что-то или кто-то находится сзади.</em></p><p>Она припарковалась за мной.&nbsp;</p>""","9"
"79","<p>czter<strong>naście</strong></p>","0","1670931341008","1","1670931341008","18","<p>14</p>","3"
"17176692740472","<p>Jane has <strong>given</strong> Amy a lesson.</p>","0","1717669274046","1","1717669274046","17175732474688","<p>Jane <strong>дала</strong> Amy урок. <em>(Present Perfect)</em></p>","3"
"172","<p>brzydki</p>","0","1670931341008","0","1670931341008","19","<p>Уродливый</p>","3"
"379","<p>Trzy</p>","0","1670957406897","1","1670957406897","30","<p>3</p>","9"
"440","<p>Być</p><p>Jestem<br>Jesteś<br>Jest<br>Jestemy<br>Jesteście<br>Są</p>","0","1672306975909","0","1672402914419","43","""<p>Быть, являться, находиться</p>""","3"
"69","<p>cztery</p>","0","1670931341008","1","1670931341008","18","<p>4</p>","3"
"471","","0","1672317988833","1","1672317988833","44","<p>Test</p>","11"
"517","<p>Able</p>","0","1672693085915","1","1672693085915","45","<p> способен </p>","9"
"314","<p>Do <strong>widzenia</strong>!</p>","0","1670931341008","1","1670931341008","31","<p>До свидания!</p>","9"
"861","<p>powszechnie</p><p><em>co zostało </em><strong><em>powszechnie</em></strong><em> zaakceptowane</em></p>","0","1693980117526","1","1693980117526","72","<p>Повсеместно / массово</p>","3"
"410","<p>Sobota</p>","0","1671191104894","1","1671537393487","39","<p>Суббота</p>","3"
"654","<p>Sześć tygodni temu</p>","0","1677492810878","1","1677492810878","52","<p>Шесть недель назад</p>","3"
"110","<p>czter<strong>dzieści </strong>trzy</p>","0","1670931341008","1","1670931341008","18","<p>43</p>","3"
"8","jesteście","0","1670931341008","1","1670931341008","9","wy","3"
"288","<p>Zamykać</p>","0","1670931341008","2","1671536371708","26","<p>Закрывать / to close (несовершенный)</p>","3"
"373","","0","1670956992440","1","1670956992440","37","<p>Понимать</p>","9"
"461","<p>Myśl<strong>eć</strong></p><p>Myśl<strong>ę</strong><br>Myśl<strong>isz<br></strong>Myśl<strong>i</strong><br>Myśl<strong>imy<br></strong>Myśl<strong>icie</strong><br>Myśl<strong>ą</strong></p>","0","1672309075532","2","1672396248736","43","<p>Думать</p>","3"
"229","<p>Oni <strong>rozmawiają</strong></p>","0","1670931341008","2","1671279846467","19","<p><em>Они</em> <strong>говорят</strong></p>","3"
"467","<p>Pamiętać</p><p>Pamiętam<br>Pamiętasz<br>Pamięta<br>Pamiętamy<br>Pamiętacie<br>Pamiętają</p>","0","1672309860517","1","1672309860517","43","<p>Помнить</p>","3"
"786","<p>podczas cofania</p>","0","1692280733965","1","1692594304979","66","<p>В момент движения задним ходом</p>","3"
"62","<p>osiem<strong>dzisiąt</strong></p>","0","1670931341008","1","1670931341008","17","<p>80</p>","3"
"226","<p>Chłopak jest <strong>przystojn</strong><u><strong>y</strong></u></p>","0","1670931341008","1","1671279683000","19","<p><strong>Красивый</strong> парень</p>","3"
"197","<p>Ona jest <strong>ładna</strong></p>","0","1670931341008","0","1670931341008","19","<p>Она <strong>красивая</strong></p>","3"
"244","<p>uczę się polskiego</p>","0","1670931341008","0","1670931341008","19","<p>Учу польский</p>","3"
"230","<p>On jest <strong>smutny</strong></p>","0","1670931341008","0","1670931341008","19","<p>Он <strong>печальный</strong> (расстроен)</p>","3"
"476","<p>Powtarzać</p><p>Powtarzam<br>Powtarzasz<br>Powtarza<br>Powtarzamy<br>Powtarzacie<br>Powtarzają</p>","0","1672333174918","1","1672430510033","43","<p>Повторять (не завершенный)</p>","3"
"697","<p>jedziesz</p>","0","1684682453125","1","1684682453125","56","<p>Едешь</p>","3"
"54","<p>osiem<strong>naście</strong></p>","0","1670931341008","1","1670931341008","17","<p>18</p>","3"
"730","<p>Poprawić</p>","0","1691675181139","1","1691675181139","63","<p>Исправлять</p>","3"
"343","<p>Ułatwić pracę</p>","0","1670931341008","0","1670967402042","34","<p>Облегчать работу</p>","3"
"442","<p>Chodzić</p><p>Chodzę<br>Chodzisz<br>Chodzi<br>Chodzimy<br>Chodzicie<br>Chodzą</p>","0","1672307054432","1","1672307054432","43","<p>Ходить</p>","3"
"593","<p>widzę pols<u>k</u><strong>iego</strong> student<strong>a</strong></p>","0","1674917693141","1","1674917693141","51","<p>widzę (polski) (student)</p>","3"
"468","<p>Pisać</p><p>Piszę<br>Piszesz<br>Pisze<br>Piszemy<br>Piszecie<br>Piszą</p>","0","1672309976291","1","1672309976291","43","<p>Писать (письмо)</p>","3"
"813","<p>wcześniej</p>","0","1692775273704","1","1693481576406","69","<p>Заранее</p>","3"
