"id","name","parentId","userId"
"47","Prepositions of time (времени)","46","9"
"69","Part 2","65","3"
"8","Polski","","3"
"62","Польский","","15"
"54","Dopełniać. Liczba pojedyncza","51","3"
"32","Edison. Książka","20","3"
"56","""Iść, chodzić, jechać, jeździć""","8","3"
"17175185305543","2","","17175184955618"
"44","Test","","11"
"39","Дни недели","20","3"
"10","Польский","","5"
"31","Выражения","27","9"
"58","1","57","3"
"65","Podstawowe słowa","64","3"
"38","Глава 2","32","3"
"17175185072409","1-2","17175185025029","17175184955618"
"17175185117747","1-2-3","17175185072409","17175184955618"
"21","Text 1. Makabra","20","3"
"40","Прилагательные","27","9"
"14","Слова лекция 1","8","3"
"55","English","","3"
"18","0-100 Все числа","15","3"
"25","Test","","8"
"12","Первое спряжение","11","3"
"9","być","8","3"
"53","Helena 09 rus","20","3"
"52","Kiedy?","8","3"
"27","""Польский язык ""","","9"
"26","Krystyna i Paweł. Text 5","20","3"
"13","Второе спряжение","11","3"
"16","awd","","4"
"17175185025029","1","","17175184955618"
"72","1 strona","71","3"
"45","1-20","29","9"
"41","Цвета","27","9"
"17","Essential","15","3"
"17181827702007","Test 3","17175732474688","3"
"17215588427278","ACID","17215588015956","3"
"66","Tematyczny słowa","64","3"
"63","Grzegorz","8","3"
"46","Prepositions","29","9"
"50","Prepositions of reason (причины)","46","9"
"36","Профессии","27","9"
"59","test folder","","11"
"71","Robinson Kruzo","8","3"
"20","Uczę się słowa","8","3"
"19","Слова Krok-po-Kroku 4","20","3"
"73","Bądź na B1","8","3"
"17215588015956","СУБД","","3"
"17175732474688","Words from DailyDictation","55","3"
"61","verbs","60","11"
"33","""Привет, Женя""","","10"
"34","Глава 1","32","3"
"35","Kolory","20","3"
"42","Miesiące","20","3"
"17175185241056","1-3","17175185025029","17175184955618"
"49","Prepositions of direction (направление)","46","9"
"37","Глаголы","27","9"
"51","Przypadki","8","3"
"64","Prawa ruch drogewogo","8","3"
"43","Czasowniki","20","3"
"17181829508985","Test ws","17175732474688","3"
"22","""Учу польский ""","","7"
"171818276324710","Test 2","17175732474688","3"
"68","Part 1","65","3"
"17181826500308","Test","17175732474688","3"
"29","English","","9"
"24","""Być ""","23","7"
"23","Глаголы","22","7"
"30","1-10","28","9"
"15","Числа","8","3"
"28","First lesson","27","9"
"67","gramatyka - terminy","8","3"
"11","Спряжения глаголов","8","3"
"57","Grzegorz","20","3"
"60","PORTUGUESE","","11"
"48","Prepositions of place (места)","46","9"
"70","Part 3","65","3"
"17181834010315","Test ws","17175732474688","3"
"17181826619551","test","17175732474688","3"
